species,longitude,latitude
Oxypogon_stuebelii,-75.35019,4.934039
Oxypogon_stuebelii,-75.48233,5.05843
Oxypogon_stuebelii,-75.32848,4.998237
Oxypogon_stuebelii,-75.33534,4.98029
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35019,4.934039
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.32848,4.998237
Oxypogon_stuebelii,-75.45719,4.760109
Oxypogon_stuebelii,-75.45719,4.760109
Oxypogon_stuebelii,-75.45719,4.760109
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.3669,4.930969
Oxypogon_stuebelii,-75.350784,4.929061
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.33534,4.98029
Oxypogon_stuebelii,-75.33534,4.98029
Oxypogon_stuebelii,-75.33534,4.98029
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.33534,4.98029
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.37801,4.970047
Oxypogon_stuebelii,-75.37801,4.970047
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.27459,4.919168
Oxypogon_stuebelii,-75.45719,4.760109
Oxypogon_stuebelii,-75.45719,4.760109
Oxypogon_stuebelii,-75.45719,4.760109
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.34879,4.933784
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35433,4.950808
